,address,sqm,sqm0,rooms,floor,info,price,more,views,additional,additional0,facilities,data-lat,data-lng,adddate,editdate,id
0," Yerevan, Center, A.Manukyan St ",Area 71 SQ. M.Room 2Floor/Storeys 5/5,,,,"2 bedrooms apartment for sale in A.Manukyan St, Center, Yerevan, 127365","125,000  / SQ. M. 1,761","Price (SQ. M.) 1,761Bathroom1Building typeStone Ceiling height3 MconditionGood ",1228,,,,40.1789765,44.5247991,Added in 02.12.2022 ,Edited in 18.04.2023 ,127365
1," Yerevan, Nor Norq, Norqi ayginer ",Area 630 SQ. M.Room 6Storeys 3,,,," for sale in Norqi ayginer, Nor Norq, Yerevan, 119457",on request ,Home space700 SQ. M.Land area630 SQ. M.Price (SQ. M.)on requestBathroom5+Building typeOther Ceiling height2.8 MconditionGood ,2205,,,,40.188869,44.51339,Added in 01.03.2022 ,Edited in 01.03.2022 ,119457
2," Yerevan, Qanaqer-Zeytun, A.Aharonyan St ",Area 95 SQ. M.Room 3Floor/Storeys 2/15,,,,"3 bedrooms apartment for sale in new construction in A.Aharonyan St, Qanaqer-Zeytun, Yerevan, 128901","185,000  / SQ. M. 1,947","Price (SQ. M.) 1,947Bathroom2Building typeMonolit Ceiling height3 MconditionNewly repaired ",762,"Euro windows--Open balcony--Tile--Laminate flooring--Sunny--Bilateral--Roadside--Close to the bus station--Parking--Playground--Elevator--
","Heating--Hot water--Sewerage, Canalization--Electricity--Gas--Water--water 24/7--
","Heating--Hot water--Sewerage, Canalization--Electricity--Gas--Water--water 24/7--
",40.2072097,44.5331838,Added in 08.08.2022 ,Edited in 03.02.2023 ,128901
3," Yerevan, Arabkir, Malkhasiants St ",Area 132 SQ. M.Room 4Floor/Storeys 11/13,,,,"4 bedrooms apartment for sale in new construction in Malkhasiants St, Arabkir, Yerevan, 118544","160,000  / SQ. M. 1,212","Price (SQ. M.) 1,212Bathroom2Building typeMonolit Ceiling height3 MconditionZero condition ",2308,,"Iron door--Balcony--Elevator--Euro windows--Sunny--View--Playground--
","Iron door--Balcony--Elevator--Euro windows--Sunny--View--Playground--
",40.210213,44.5077545,Added in 01.02.2022 ,Edited in 01.02.2022 ,118544
4," Yerevan, Center, Mashtots Ave ",Area 40 SQ. M.Room 2Floor/Storeys 2/11,,,,"2 bedrooms apartment for sale in Mashtots Ave, Center, Yerevan, 127900","150,000  / SQ. M. 3,750","Price (SQ. M.) 3,750Bathroom1Building typePanel Ceiling height2.8 MconditionNewly repaired ",1523,"Euro windows--Tile--View--Close to the bus station--
","Heating--Internet--Hot water--Electricity--Air-conditioner--Gas--Water--water 24/7--
","Heating--Internet--Hot water--Electricity--Air-conditioner--Gas--Water--water 24/7--
",40.1842472,44.5120259,Added in 20.12.2022 ,Edited in 20.12.2022 ,127900
5," Yerevan, Qanaqer-Zeytun, Nersisyan dead end ",Area 166 SQ. M.Room 4Floor/Storeys 18/19,,,,"4 bedrooms apartment for sale in new construction in Nersisyan dead end, Qanaqer-Zeytun, Yerevan, 130642","460,000   / SQ. M. 2,771","Price (SQ. M.) 2,771Bathroom3Building typeMonolit Ceiling height3 MconditionNewly repaired ",692,"Euro windows--Iron door--Open balcony--Tile--Laminate flooring--Heated floor--Security system--Sunny--View--Close to the bus station--Elevator--
","Heating--Hot water--Electricity--Gas--Water--water 24/7--
","Heating--Hot water--Electricity--Gas--Water--water 24/7--
",40.2076159,44.5283101,Added in 12.03.2023 ,Edited in 12.03.2023 ,130642
6," Yerevan, Center, Mashtots Ave ",Area 106 SQ. M.Room 4Floor/Storeys 2/5,,,,"4 bedrooms apartment for rent in Mashtots Ave, Center, Yerevan, 10673","1,500",Bathroom1Building typeOther Ceiling height2.8 MconditionGood ,9329,"Sunny--Tile--Equipment--Furniture--
","Water--water 24/7--Electricity--Hot water--Gas--
","Water--water 24/7--Electricity--Hot water--Gas--
",40.183731,44.5111862,Added in 07.10.2015 ,Edited in 13.08.2020 ,10673
7," Yerevan, Erebuni, Erebuni St ",Area 100 SQ. M.Room 4Floor/Storeys 1/5,,,,"4 bedrooms apartment for rent in Erebuni St, Erebuni, Yerevan, 132944",954,Bathroom1Building typeStone Ceiling height3 MconditionGood ,146,"Euro windows--Equipment--Furniture--
","Water--water 24/7--Electricity--Internet--Gas--Heating--
","Water--water 24/7--Electricity--Internet--Gas--Heating--
",40.14177143,44.52382313,Added in 25.04.2023 ,Edited in 25.04.2023 ,132944
8," Yerevan, Arabkir, Kievyan St ",Area 210 SQ. M.Room 4Floor/Storeys 4/4,,,,"4 bedrooms apartment for sale in new construction in Kievyan St, Arabkir, Yerevan, 127485","220,000  / SQ. M. 1,048","Price (SQ. M.) 1,048Bathroom3Building typeStone Ceiling height3.2 MconditionNewly repaired ",1376,"Furniture--Equipment--Euro windows--Open balcony--Storage room--Tile--Laminate flooring--Parquet--Sunny--View--Roadside--Close to the bus station--Parking--Park--
","Heating--Internet--Hot water--Irrigation--Sewerage, Canalization--Electricity--Air-conditioner--Gas--Water--water 24/7--
","Heating--Internet--Hot water--Irrigation--Sewerage, Canalization--Electricity--Air-conditioner--Gas--Water--water 24/7--
",40.1932499,44.4847527,Added in 02.12.2022 ,Edited in 02.12.2022 ,127485
9," Yerevan, Center, Mashtots Ave ",Area 47 SQ. M.Room 1Floor/Storeys 6/12,,,,"1 bedrooms apartment for rent in Mashtots Ave, Center, Yerevan, 128024","1,000",Bathroom1Building typePanel Ceiling height2.8 MconditionGood ,1180,"Furniture--Equipment--Open balcony--
","Heating--Internet--Hot water--Electricity--Air-conditioner--Gas--water 24/7--
","Heating--Internet--Hot water--Electricity--Air-conditioner--Gas--water 24/7--
",40.1822527,44.5081994,Added in 27.12.2022 ,Edited in 27.12.2022 ,128024
