,address,rooms,floor,info,price,views,Lat,Lng,adddate,editdate,ListingID_NK,Sqm,pricebysqm,addyear,edityear,addmonth,editmonth,addday,editday,addquarter,editquarter,platform,housetype,type,City,DistrictStreet,District,Street,eurowindows,irondoor,openbalcony,securitysystem,sunny,view,roadside,closetothebusstation,parking,park,elevator,furniture,equipment,balcony,storageroom,playground,parquet,tile,laminateflooring,heating,hotwater,electricity,centralheating,water,water247,gas,airconditioner,sewerage,logha,garage,internet
0," Yerevan, Center, A.Manukyan St ", 2, 5/5,"2 bedrooms apartment for sale in A.Manukyan St, Center, Yerevan, 127365",125000  ,1228.0,40.1789765,44.5247991,2022-12-02,2023-04-18,127365.0,71,1761.0,2022,2023,2,4,12,18,1,2,MyRealty.am,apartment,sale, Yerevan," Center,  A.Manukyan St ", Center, A.Manukyan St ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1," Yerevan, Nor Norq, Norqi ayginer ", 6,," for sale in Norqi ayginer, Nor Norq, Yerevan, 119457",on request ,2205.0,40.188869,44.51339,2022-03-01,2022-03-01,119457.0,630,,2022,2022,1,1,3,3,1,1,MyRealty.am,apartment,sale, Yerevan," Nor Norq,  Norqi ayginer ", Nor Norq, Norqi ayginer ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2," Yerevan, Qanaqer-Zeytun, A.Aharonyan St ", 3, 2/15,"3 bedrooms apartment for sale in new construction in A.Aharonyan St, Qanaqer-Zeytun, Yerevan, 128901",185000  ,762.0,40.2072097,44.5331838,2022-08-08,2023-02-03,128901.0,95,1947.0,2022,2023,8,3,8,2,3,1,MyRealty.am,apartment,sale, Yerevan," Qanaqer-Zeytun,  A.Aharonyan St ", Qanaqer-Zeytun, A.Aharonyan St ,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
3," Yerevan, Arabkir, Malkhasiants St ", 4, 11/13,"4 bedrooms apartment for sale in new construction in Malkhasiants St, Arabkir, Yerevan, 118544",160000  ,2308.0,40.210213,44.5077545,2022-02-01,2022-02-01,118544.0,132,1212.0,2022,2022,1,1,2,2,1,1,MyRealty.am,apartment,sale, Yerevan," Arabkir,  Malkhasiants St ", Arabkir, Malkhasiants St ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4," Yerevan, Center, Mashtots Ave ", 2, 2/11,"2 bedrooms apartment for sale in Mashtots Ave, Center, Yerevan, 127900",150000  ,1523.0,40.1842472,44.5120259,2022-12-20,2022-12-20,127900.0,40,3750.0,2022,2022,12,12,20,20,4,4,MyRealty.am,apartment,sale, Yerevan," Center,  Mashtots Ave ", Center, Mashtots Ave ,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5," Yerevan, Qanaqer-Zeytun, Nersisyan dead end ", 4, 18/19,"4 bedrooms apartment for sale in new construction in Nersisyan dead end, Qanaqer-Zeytun, Yerevan, 130642",460000   ,692.0,40.2076159,44.5283101,2023-03-12,2023-03-12,130642.0,166,2771.0,2023,2023,12,12,3,3,4,4,MyRealty.am,apartment,sale, Yerevan," Qanaqer-Zeytun,  Nersisyan dead end ", Qanaqer-Zeytun, Nersisyan dead end ,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
6," Yerevan, Center, Mashtots Ave ", 4, 2/5,"4 bedrooms apartment for rent in Mashtots Ave, Center, Yerevan, 10673",1500,9329.0,40.183731,44.5111862,2015-10-07,2020-08-13,10673.0,106,,2015,2020,7,8,10,13,3,3,MyRealty.am,apartment,rent, Yerevan," Center,  Mashtots Ave ", Center, Mashtots Ave ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
7," Yerevan, Erebuni, Erebuni St ", 4, 1/5,"4 bedrooms apartment for rent in Erebuni St, Erebuni, Yerevan, 132944",954,146.0,40.14177143,44.52382313,2023-04-25,2023-04-25,132944.0,100,,2023,2023,4,4,25,25,2,2,MyRealty.am,apartment,rent, Yerevan," Erebuni,  Erebuni St ", Erebuni, Erebuni St ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
8," Yerevan, Arabkir, Kievyan St ", 4, 4/4,"4 bedrooms apartment for sale in new construction in Kievyan St, Arabkir, Yerevan, 127485",220000  ,1376.0,40.1932499,44.4847527,2022-12-02,2022-12-02,127485.0,210,1048.0,2022,2022,2,2,12,12,1,1,MyRealty.am,apartment,sale, Yerevan," Arabkir,  Kievyan St ", Arabkir, Kievyan St ,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
9," Yerevan, Center, Mashtots Ave ", 1, 6/12,"1 bedrooms apartment for rent in Mashtots Ave, Center, Yerevan, 128024",1000,1180.0,40.1822527,44.5081994,2022-12-27,2022-12-27,128024.0,47,,2022,2022,12,12,27,27,4,4,MyRealty.am,apartment,rent, Yerevan," Center,  Mashtots Ave ", Center, Mashtots Ave ,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
